cve,descrip
X702,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X703,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, AREAS DE DEPORTE Y ATLETISMO"
X704,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, CALLES Y CARRETERAS"
X705,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, COMERCIO Y AREA DE SERVICIOS"
X706,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X707,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, GRANJA"
X708,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, OTRO LUGAR ESPECIFICADO"
X709,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, LUGAR NO ESPECIFICADO"
X710,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO, Y SUMERSION, VIVIENDA"
X711,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO, Y SUMERSION, INSTITUCION RESIDENCIAL"
X712,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO, Y SUMERSION, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X713,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO, Y SUMERSION, AREAS DE DEPORTE Y ATLETISMO"
X714,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO, Y SUMERSION, CALLES Y CARRETERAS"
X715,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO, Y SUMERSION, COMERCIO Y AREA DE SERVICIOS"
X716,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO Y SUMERSION, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X717,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO Y SUMERSION, GRANJA"
X718,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO Y SUMERSION, OTRO LUGAR ESPECIFICADO"
X719,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO Y SUMERSION, LUGAR NO ESPECIFICADO"
X720,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, VIVIENDA"
X721,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, INSTITUCION RESIDENCIAL"
X722,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X723,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, AREAS DE DEPORTE Y ATLETISMO"
X724,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, CALLES Y CARRETERAS"
X725,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, COMERCIO Y AREA DE SERVICIOS"
X726,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X727,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, GRANJA"
X728,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, OTRO LUGAR ESPECIFICADO"
X729,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, LUGAR NO ESPECIFICADO"
X730,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, VIVIENDA"
X731,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, INSTITUCION RESIDENCIAL"
X732,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X733,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, AREAS DE DEPORTE Y ATLETISMO"
X734,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, CALLES Y CARRETERAS"
X735,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, COMERCIO Y AREA DE SERVICIOS"
X736,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X737,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, GRANJA"
X738,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, OTRO LUGAR ESPECIFICADO"
X739,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, LUGAR NO ESPECIFICADO"
X740,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, VIVIENDA"
X741,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, INSTITUCION RESIDENCIAL"
X742,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X743,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, AREAS DE DEPORTE Y ATLETISMO"
X744,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, CALLES Y CARRETERAS"
X745,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, COMERCIO Y AREA DE SERVICIOS"
X746,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X747,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, GRANJA"
X748,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, OTRO LUGAR ESPECIFICADO"
X749,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, LUGAR NO ESPECIFICADO"
X750,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, VIVIENDA"
X751,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, INSTITUCION RESIDENCIAL"
X752,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X753,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, AREAS DE DEPORTE Y ATLETISMO"
X754,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, CALLES Y CARRETERAS"
X755,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, COMERCIO Y AREA DE SERVICIOS"
X756,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X757,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, GRANJA"
X758,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, OTRO LUGAR ESPECIFICADO"
X759,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, LUGAR NO ESPECIFICADO"
X760,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, VIVIENDA"
X761,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, INSTITUCION RESIDENCIAL"
X762,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X763,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, AREAS DE DEPORTE Y ATLETISMO"
X764,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, CALLES Y CARRETERAS"
X765,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, COMERCIO Y AREA DE SERVICIOS"
X766,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X767,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, GRANJA"
X768,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, OTRO LUGAR ESPECIFICADO"
X769,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, LUGAR NO ESPECIFICADO"
X770,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, VIVIENDA"
X771,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, INSTITUCION RESIDENCIAL"
X772,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X773,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, AREAS DE DEPORTE Y ATLETISMO"
X774,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, CALLES Y CARRETERAS"
X775,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, COMERCIO Y AREA DE SERVICIOS"
X776,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X777,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, GRANJA"
X778,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, OTRO LUGAR ESPECIFICADO"
X779,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, LUGAR NO ESPECIFICADO"
X780,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, VIVIENDA"
X781,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, INSTITUCION RESIDENCIAL"
X782,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X783,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, AREAS DE DEPORTE Y ATLETISMO"
X784,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, CALLES Y CARRETERAS"
X785,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, COMERCIO Y AREA DE SERVICIOS"
X786,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X787,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, GRANJA"
X788,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, OTRO LUGAR ESPECIFICADO"
X789,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, LUGAR NO ESPECIFICADO"
X790,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, VIVIENDA"
X791,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, INSTITUCION RESIDENCIAL"
X792,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X793,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, AREAS DE DEPORTE Y ATLETISMO"
X794,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, CALLES Y CARRETERAS"
X795,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, COMERCIO Y AREA DE SERVICIOS"
X796,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X797,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, GRANJA"
X798,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, OTRO LUGAR ESPECIFICADO"
X799,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, LUGAR NO ESPECIFICADO"
X800,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, VIVIENDA"
X801,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, INSTITUCION RESIDENCIAL"
X802,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X803,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, AREAS DE DEPORTE Y ATLETISMO"
X804,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, CALLES Y CARRETERAS"
X805,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, COMERCIO Y AREA DE SERVICIOS"
X806,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X807,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, GRANJA"
X808,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, OTRO LUGAR ESPECIFICADO"
X809,"LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO, LUGAR NO ESPECIFICADO"
X810,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, VIVIENDA"
X811,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, INSTITUCION RESIDENCIAL"
X812,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X813,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, AREAS DE DEPORTE Y ATLETISMO"
X814,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, CALLES Y CARRETERAS"
X815,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, COMERCIO Y AREA DE SERVICIOS"
X816,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X817,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, GRANJA"
X818,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, OTRO LUGAR ESPECIFICADO"
X819,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, LUGAR NO ESPECIFICADO"
X820,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, VIVIENDA"
X821,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, INSTITUCION RESIDENCIAL"
X822,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X823,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, AREAS DE DEPORTE Y ATLETISMO"
X824,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, CALLES Y CARRETERAS"
X825,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, COMERCIO Y AREA DE SERVICIOS"
X826,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X827,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, GRANJA"
X828,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, OTRO LUGAR ESPECIFICADO"
X829,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, LUGAR NO ESPECIFICADO"
X830,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, VIVIENDA"
X831,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, INSTITUCION RESIDENCIAL"
X832,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X833,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, AREAS DE DEPORTE Y ATLETISMO"
X834,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, CALLES Y CARRETERAS"
X835,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, COMERCIO Y AREA DE SERVICIOS"
X836,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X837,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, GRANJA"
X838,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, OTRO LUGAR ESPECIFICADO"
X839,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, LUGAR NO ESPECIFICADO"
X840,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, VIVIENDA"
X841,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, INSTITUCION RESIDENCIAL"
X842,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS"
X843,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, AREAS DE DEPORTE Y ATLETISMO"
X844,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, CALLES Y CARRETERAS"
X845,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, COMERCIO Y AREA DE SERVICIOS"
X846,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, AREA INDUSTRIAL Y DE LA CONSTRUCCION"
X847,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, GRANJA"
X848,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, OTRO LUGAR ESPECIFICADO"
X849,"LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, LUGAR NO ESPECIFICADO"
