Cve_Metro,grupo,nav_count,nav_percentile,nav_robust_z,top1_count,top1_start,top1_end,n_windows,Nombre,Poblacion,tasa_anual_100k
01.1.01,,3,0.0,-4.721435316336167,16.0,2024-09-14,2024-09-21,108,Aguascalientes,1230213,0.0
02.1.01,,0,0.0,-6.070416835289357,14.0,2024-09-18,2024-09-25,72,Tijuana,2259194,0.0
02.2.02,,0,0.0,-6.070416835289357,10.0,2024-06-10,2024-06-17,21,Ensenada,464596,0.0
02.2.03,,1,0.0,-5.395926075812762,10.0,2024-08-15,2024-08-22,36,Mexicali,1083531,0.0
03.2.01,,0,0.0,,8.0,2024-05-25,2024-06-01,9,La Paz,316752,0.0
03.2.02,,0,0.0,,10.0,2024-06-28,2024-07-05,29,Los Cabos,409232,0.0
04.2.01,,2,0.0,,9.0,2024-05-02,2024-05-09,18,Campeche,302186,0.0
05.1.01,,1,0.0,-5.395926075812762,12.0,2024-07-29,2024-08-05,92,La Laguna,1462429,0.0
05.1.02,,2,0.0,,8.0,2024-05-02,2024-05-09,14,Monclova-Frontera,387723,0.0
05.1.03,,2,0.0,,9.0,2024-02-28,2024-03-06,26,Piedras Negras,225436,0.0
05.1.04,,2,0.0,,11.0,2024-07-07,2024-07-14,89,Saltillo,1135536,0.0
05.3.05,,0,0.0,,8.0,2024-09-03,2024-09-10,3,Sabinas,109927,0.0
06.1.01,,0,0.0,,8.0,2024-05-03,2024-05-10,10,Colima-Villa de Álvarez,345066,0.0
06.3.02,,1,0.0,,8.0,2024-08-25,2024-09-01,8,Tecomán,145555,0.0
07.1.01,,0,0.0,,9.0,2024-07-07,2024-07-14,11,Tapachula,421647,0.0
07.1.02,,2,0.0,,11.0,2024-04-21,2024-04-28,44,Tuxtla Gutiérrez,912652,0.0
08.1.01,,1,0.0,-6.070416835289357,13.0,2024-04-27,2024-05-04,107,Chihuahua,1072666,0.0
08.1.02,,1,0.0,,8.0,2024-04-03,2024-04-10,20,Delicias,219431,0.0
08.2.03,,4,0.0,-4.046944556859572,15.0,2024-05-19,2024-05-26,118,Juárez,1637477,0.0
08.3.04,,0,0.0,,8.0,2024-05-21,2024-05-28,8,Hidalgo del Parral,130934,0.0
09.1.01,,20,0.011363636363636364,-2.1920949682989344,48.0,2024-04-30,2024-05-07,352,Ciudad de México,21901449,0.0
10.2.01,,2,0.0,,10.0,2024-07-05,2024-07-12,59,Durango,726388,0.0
11.1.01,,1,0.0,-10.117361392148927,11.0,2024-04-24,2024-05-01,50,Celaya,722675,0.0
11.1.02,,2,0.0,-10.117361392148927,13.0,2024-04-29,2024-05-06,118,León,2079184,0.0
11.2.03,,2,0.0,,8.0,2024-06-05,2024-06-12,11,Guanajuato,205516,0.0
11.2.04,,2,0.0,,9.0,2024-03-22,2024-03-29,38,Irapuato,614588,0.0
11.3.05,,0,0.0,,8.0,2024-09-13,2024-09-20,5,Moroleón-Uriangato,139068,0.0
11.3.06,,0,0.0,,9.0,2024-05-31,2024-06-07,15,Silao,287969,0.0
12.1.01,,0,,,,,,0,Chilpancingo,350473,
12.2.02,,0,0.0,,9.0,2024-11-24,2024-12-01,1,Acapulco,788649,0.0
13.1.01,,2,0.0,,10.0,2024-08-07,2024-08-14,37,Pachuca,681072,0.0
13.1.02,,1,0.0,,9.0,2024-12-20,2024-12-27,1,Tulancingo,280259,0.0
13.3.03,,0,,,,,,0,Atitalaquia,61708,
14.1.01,,5,0.0,-2.697963037906381,21.0,2024-05-25,2024-06-01,241,Guadalajara,5427673,0.0
14.1.02,,0,0.0,-6.070416835289357,10.0,2024-11-28,2024-12-05,24,Puerto Vallarta,523475,0.0
14.3.03,,0,0.0,,8.0,2024-08-01,2024-08-08,7,Ocotlán,192173,0.0
15.1.01,,3,0.0,-4.046944556859572,12.0,2024-03-25,2024-04-01,105,Toluca,2454781,0.0
15.3.02,,0,,,,,,0,Ozumba,86253,
15.3.03,,0,0.0,,8.0,2024-07-09,2024-07-16,6,Tianguistenco,190810,0.0
16.1.01,,0,0.0,,8.0,2024-05-20,2024-05-27,6,La Piedad-Pénjamo,272029,0.0
16.1.02,,0,0.0,,12.0,2024-04-24,2024-05-01,53,Morelia,1061095,0.0
16.1.03,,1,0.0,-5.395926075812762,10.0,2024-06-14,2024-06-21,18,Zamora,288073,0.0
16.2.04,,1,0.0,,9.0,2024-07-09,2024-07-16,15,Uruapan,384146,0.0
16.3.05,,0,0.0,,8.0,2024-08-25,2024-09-01,2,Lázaro Cárdenas,240114,0.0
16.3.06,,0,0.0,,8.0,2024-06-13,2024-06-20,4,Sahuayo,122634,0.0
17.1.01,,0,0.0,,8.0,2024-05-16,2024-05-23,18,Cuautla,373470,0.0
17.1.02,,3,0.0,,12.0,2024-05-17,2024-05-24,45,Cuernavaca,1165374,0.0
18.1.01,,0,0.0,,8.0,2024-03-23,2024-03-30,23,Tepic,521272,0.0
19.1.01,,14,0.7894736842105263,0.6744907594765952,20.0,2024-05-09,2024-05-16,228,Monterrey,5846229,0.0
20.1.01,,0,0.0,,9.0,2024-03-25,2024-04-01,41,Oaxaca,792660,0.0
20.3.02,,0,,,,,,0,Juchitán,140087,
20.3.03,,0,,,,,,0,Salina Cruz,84702,
20.3.04,,0,,,,,,0,Tehuantepec,92165,
21.1.01,,1,0.0,-11.46634291110212,13.0,2024-09-11,2024-09-18,122,Puebla-Tlaxcala,3003648,0.0
21.1.02,,1,0.0,,9.0,2024-06-25,2024-07-02,13,San Martín Texmelucan,332127,0.0
21.1.03,,1,0.0,,9.0,2024-04-29,2024-05-06,20,Tehuacán,371795,0.0
21.3.04,,0,0.0,,8.0,2024-06-17,2024-06-24,8,Huauchinango,114809,0.0
21.3.05,,0,,,,,,0,Teziutlán,144991,
22.1.01,,3,0.0,-4.046944556859572,14.0,2024-03-11,2024-03-18,108,Querétaro,1730862,0.0
23.1.01,,4,0.0,-6.070416835289357,11.0,2024-05-19,2024-05-26,94,Cancún,1032070,0.0
23.2.02,,1,0.0,,9.0,2024-05-20,2024-05-27,24,Chetumal,253275,0.0
23.2.03,,0,0.0,,10.0,2024-02-26,2024-03-04,36,Playa del Carmen,396286,0.0
24.1.01,,3,0.0,-4.721435316336167,13.0,2024-03-27,2024-04-03,96,San Luis Potosí,1333019,0.0
24.3.02,,0,,,,,,0,Matehuala,112844,
24.3.03,,0,0.0,,8.0,2024-07-29,2024-08-05,7,Rioverde,152107,0.0
25.2.01,,2,0.0,,10.0,2024-08-04,2024-08-11,38,Culiacán,1076523,0.0
25.2.02,,0,0.0,,10.0,2024-09-04,2024-09-11,14,Los Mochis,486569,0.0
25.2.03,,0,0.0,,9.0,2024-09-15,2024-09-22,15,Mazatlán,520033,0.0
26.1.01,,0,0.0,,8.0,2024-05-04,2024-05-11,7,Guaymas,212788,0.0
26.2.02,,2,0.0,,10.0,2024-07-06,2024-07-13,29,Ciudad Obregón,451214,0.0
26.2.03,,2,0.0,-4.721435316336167,12.0,2024-05-18,2024-05-25,58,Hermosillo,1013689,0.0
26.2.04,,0,0.0,,9.0,2024-03-16,2024-03-23,20,Nogales,287440,0.0
26.3.05,,0,0.0,,8.0,2024-09-12,2024-09-19,1,Caborca,104307,0.0
27.1.01,,2,0.0,,10.0,2024-09-12,2024-09-19,51,Villahermosa,858154,0.0
28.1.01,,1,0.0,,9.0,2024-02-25,2024-03-03,44,Reynosa,909100,0.0
28.1.02,,0,0.0,,10.0,2024-09-15,2024-09-22,27,Tampico,956622,0.0
28.2.03,,1,0.0,,8.0,2024-04-21,2024-04-28,25,Ciudad Victoria,364633,0.0
28.2.04,,1,0.0,,10.0,2024-08-30,2024-09-06,11,Matamoros,576355,0.0
28.2.05,,0,0.0,,8.0,2024-05-24,2024-05-31,16,Nuevo Laredo,453961,0.0
29.1.01,,1,0.0,-10.117361392148927,9.0,2024-05-27,2024-06-03,32,Tlaxcala-Apizaco,716765,0.0
29.3.02,,0,,,,,,0,Huamantla,114456,
30.1.01,,0,0.0,,10.0,2024-09-08,2024-09-15,22,Coatzacoalcos,356443,0.0
30.1.02,,1,0.0,,8.0,2024-06-12,2024-06-19,9,Córdoba,345226,0.0
30.1.03,,0,0.0,,8.0,2024-05-25,2024-06-01,15,Minatitlán,317288,0.0
30.1.04,,0,,,,,,0,Orizaba,475674,
30.1.05,,0,0.0,,9.0,2024-07-08,2024-07-15,7,Poza Rica,335563,0.0
30.1.06,,1,0.0,-10.117361392148927,9.0,2024-07-15,2024-07-22,16,Veracruz,909740,0.0
30.1.07,,3,0.0,-4.046944556859572,10.0,2024-05-02,2024-05-09,36,Xalapa,823394,0.0
30.3.08,,0,0.0,-11.46634291110212,9.0,2024-11-01,2024-11-08,2,Acayucan,113883,0.0
31.1.01,,4,0.0,-4.046944556859572,14.0,2024-04-18,2024-04-25,140,Mérida,1447429,0.0
31.3.02,,2,0.0,,8.0,2024-06-22,2024-06-29,6,Valladolid,103100,0.0
32.1.01,,0,0.0,,8.0,2024-03-11,2024-03-18,17,Zacatecas-Guadalupe,436726,0.0
